1 1.296648e-01	1.296648e-01	1.296648e-01
2 6.803540e-02	6.803540e-02	6.803540e-02
4 3.666640e-02	3.666640e-02	3.666640e-02
6 2.525300e-02	2.525300e-02	2.525300e-02
8 1.843260e-02	1.843260e-02	1.843260e-02
10 1.614600e-02	1.614600e-02	1.614600e-02
12 1.386760e-02	1.386760e-02	1.386760e-02
14 1.205820e-02	1.205820e-02	1.205820e-02
16 1.016200e-02	1.016200e-02	1.016200e-02
18 1.159460e-02	1.159460e-02	1.159460e-02
20 9.382800e-03	9.382800e-03	9.382800e-03
22 7.253400e-03	7.253400e-03	7.253400e-03
24 7.602600e-03	7.602600e-03	7.602600e-03
